PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_TYPE,SHOT_DISTANCE,SHOT_MADE_FLAG,YEAR,MONTH,DAY,HOME,Above the Break 3,Backcourt,In The Paint (Non-RA),Left Corner 3,Mid-Range,Restricted Area,Right Corner 3,Back Court(BC),Center(C),Left Side Center(LC),Left Side(L),Right Side Center(RC),Right Side(R),Driving Layup Shot,Jump Shot,Layup Shot,Pullup Jump shot,Step Back Jump shot,LOC_RATIO
4,3,51,0,19,1,2009,11,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.7944716152472547
4,2,21,1,24,1,2009,11,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-13.68397244644625
1,11,2,1,25,1,2009,11,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.535277758623943
1,9,54,1,26,0,2009,11,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.839313269258871
1,8,49,0,15,0,2009,11,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.71487700137326
1,6,18,0,16,0,2009,11,25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4.4197809284170315
2,3,38,0,4,0,2009,11,25,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.2170847340272876
2,2,46,1,22,0,2009,11,25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.3151572308701305
2,0,35,0,16,0,2009,11,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.14438985935563795
3,11,12,0,7,0,2009,11,25,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.40482187178746837
3,11,9,0,1,1,2009,11,25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.035613988765952086
3,10,49,0,15,0,2009,11,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.6041325616415059
3,8,41,0,18,1,2009,11,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.7992461021064778
3,6,57,0,16,0,2009,11,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6745077004132508
4,4,0,0,20,1,2009,11,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.0153161979935335
4,2,52,0,2,0,2009,11,25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.09806008591674574
4,1,48,0,15,1,2009,11,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2.201422610954096
4,0,43,1,25,0,2009,11,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-8.277739201858214
